REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE, 
TUR,Turkiye,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,96.7,
TUR,Turkiye,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,99.6,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,107,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,104.6,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,109,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,106.1,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,110.2,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,102.6,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,93,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,104.4,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,117.7,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,61.1,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,114.7,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,113.1,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,112.3,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,59.6,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,65.2,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,67.8,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,72.2,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,64.7,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,65.7,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,61.1,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,65.3,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,70.6,
MLT,Malta,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,86.7,
MLT,Malta,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,71.7,
MLT,Malta,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,47.6,
MLT,Malta,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,88.2,
MLT,Malta,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,96.2,
MLT,Malta,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,91.1,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,19.5,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,17.3,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,21.5,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,21.2,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,20.7,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,22.7,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,22.2,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,25.3,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,26.8,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,8.7,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,16.5,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,17.1,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,19.1,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,18.6,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,17.3,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,16.6,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,35.6,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,34.1,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,36.6,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,31.6,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,32.5,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,30.5,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,28.3,
