REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Age,Sex,Statistical operation,TIME_PERIOD,OBS_VALUE
EST,Estonia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,454.2
EST,Estonia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,490.5
EST,Estonia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,328.4
EST,Estonia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,360.7
EST,Estonia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,364.2
EST,Estonia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,378.6
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,873
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,798.9
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,891
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,838.9
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,867.3
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,865.9
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,581
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,751.6
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,767.5
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,821.9
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,809.3
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,274
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,276.3
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,264.9
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,281.5
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,290.8
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,290.7
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,253.3
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,259.6
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,262
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,242.1
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,228.9
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,242
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,252
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,117.1
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,72.6
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,118.4
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,157.7
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,114.7
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,114.6
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,121
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,56.2
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,232.8
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,227.4
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,224.2
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,225.3
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,227.1
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,220.6
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,222
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,221.8
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,217.6
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,248.3
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,286.9
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,272.4
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,273.7
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,245.5
MLT,Malta,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,399.8
MLT,Malta,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,449.1
MLT,Malta,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,417.4
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,270.3
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,279.1
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,275.6
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,283.3
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,279.1
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,270.4
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,269.7
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,273.5
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,272
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,344.5
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,357.9
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,373.6
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,403.2
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,405.4
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,411.3
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,408.8
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2002,431.7
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2001,438.1
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,165.3
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,232.3
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,230.7
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,288
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,261.6
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,270.8
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,289.9
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,307
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,308.8
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,320.4
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,482.6
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,732.7
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,743.5
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,771.6
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,772.9
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,819.9
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,873
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,874.8
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,145.1
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,157.6
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,164.4
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,179.2
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,178.4
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,192
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,200.3
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,214.5
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,223.6
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,113
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,117.8
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,121.2
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,124.6
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,133.6
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,133.8
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,198.8
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,192.6
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,170.9
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,167.3
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,154.6
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,142.1
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2002,139.7
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2001,137.1
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2000,128.7
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,146.2
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,175
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,169.1
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,165.2
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,153.7
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,223.1
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,220
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,216.1
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,218.9
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,217.8
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,213.9
FRA,France,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,317
FRA,France,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,316.3
FRA,France,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,325.7
FRA,France,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,321.8
FRA,France,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,322.6
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,245.9
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,245.6
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,245.3
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,251.4
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,251.6
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,238.4
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,248.7
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,254.4
