REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,295.1
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,307.2
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,369.4
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,388.2
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,411.7
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,433.7
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,452.2
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,363.1
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,380.4
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,118.7
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,161.3
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,169.7
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,179.4
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,195.8
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,203.9
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,216.4
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,230.5
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,244.5
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,53.4
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,56.6
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,53.6
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,41.3
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,59.1
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,73.5
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,63.9
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,68.8
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,92.2
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,37.4
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,36
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,38.3
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,43.8
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,44.2
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,45.5
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,34.9
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,35.2
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,33.4
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,33.1
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,35
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,160.6
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,172.7
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,177.5
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,189.9
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,220.6
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,247.1
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,266.7
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,247.6
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,255.6
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,102
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,115.5
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,115
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,121.5
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,126.5
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,139.8
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,150.8
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,152.6
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,146.4
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,224.6
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,228.3
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,224.1
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,260.7
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,255.8
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,232.5
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,228
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,161.6
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,160.7
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,156.9
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,152.7
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,156.8
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,151.3
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,152.9
