REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE,TIME_RANGE
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,97.4,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,99.8,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,102.5,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,101.8,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,95.2,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,89.5,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,83.4,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,81.2,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,77.2,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,70.1,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,58.6,
MEX,Mexico,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,34.1,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2007,65.5,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2008,58.8,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2009,60.3,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2010,59.6,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2011,61.1,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2012,38,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2013,33.1,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2014,38.3,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2015,36.7,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2016,38.9,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2017,40.3,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2018,41.3,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2019,45.7,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2020,39.7,
CAN,Canada,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2004,61.1,Data applies to previous five years inclusive
CAN,Canada,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2009,64.9,Data applies to previous five years inclusive
CAN,Canada,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2014,67,Data applies to previous five years inclusive
EST,Estonia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2004,46.4,Data applies to previous five years inclusive
EST,Estonia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2009,50.5,Data applies to previous five years inclusive
EST,Estonia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2014,54.8,Data applies to previous five years inclusive
EST,Estonia,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,490.5,
EST,Estonia,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,454.2,
EST,Estonia,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,422.1,
EST,Estonia,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,378.6,
EST,Estonia,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,364.2,
EST,Estonia,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,360.7,
EST,Estonia,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,328.4,
MLT,Malta,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,33.9,
MLT,Malta,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,41.6,
MLT,Malta,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,39.3,
MLT,Malta,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,36.8,
MLT,Malta,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,33.6,
MLT,Malta,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,40.9,
MLT,Malta,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,28.8,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,380.4,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,363.1,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,452.2,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,433.7,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,411.7,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,388.2,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,369.4,
