"Hospital admissions for congestive heart failure in adults"
"Age-sex standardised rates per 100 000 population"
"Category","2011","2019","2021"
"Lithuania",763,508,316
"Poland",575,661,459
"Hungary",501,,
"Romania",470,243,82
"Slovak Republic",442,526,364
"Czechia",410,406,357
"Germany",391,424,363
"United States¹",371,428,357
"Finland",339,293,266
"Estonia",326,269,208
"Sweden",294,208,196
"Italy",292,220,160
"Austria",279,247,220
"Slovenia",278,239,203
"France",276,287,
"OECD28",262,247,206
"Australia¹",234,228,227
"New Zealand",227,,
"Israel",222,251,202
"Spain",204,169,167
"Belgium",203,171,142
"Netherlands",191,162,148
"Denmark",189,178,159
"Canada",188,180,161
"Switzerland",170,236,220
"Ireland",169,158,156
"Norway",168,179,195
"Iceland",162,178,159
"Chile",114,94,83
"United Kingdom",111,116,113
"Korea",108,95,79
"Mexico",74,58,35
"Costa Rica¹",70,42,44
"Colombia",58,61,
"Türkiye",,135,
"Portugal",,,159
"Luxembourg",,248,217
