STRUCTURE_NAME,ACTION,REF_AREA,Reference area,Unit of measure,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,225.6
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,231.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2013,2.9
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2012,2.6
Causes of mortality,I,COL,Colombia,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2019,283
Causes of mortality,I,COL,Colombia,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2018,293.5
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2009,2.6
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2008,2.6
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2007,2.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2006,2.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2005,2.5
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2004,2.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2003,2.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2015,3.1
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2014,2.8
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2000,2.2
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2020,3.7
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2019,3.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2018,3.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2017,3.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2016,3
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2014,984.9
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2013,1007.7
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2002,1186.5
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2001,1187.2
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2000,1284.7
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2012,1037.5
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2011,1019.5
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2010,1041.3
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2009,1039.8
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2008,1053
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2007,1091.8
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2006,1099.4
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2005,1166.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2011,2.7
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2010,2.6
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2020,1037.2
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2019,966.1
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2018,980.5
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2017,999.9
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2016,962.1
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2015,1030.2
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2006,14.2
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2005,15
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2004,13.3
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2003,13.9
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2002,12.8
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2001,12.4
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2000,12.8
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2020,14.5
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2019,15.2
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2018,15
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2017,14.7
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2016,14.5
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2015,14.3
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2014,13.9
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2013,13.7
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2012,13.4
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2011,14
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2010,14.7
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2009,14.1
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2008,14.3
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2007,14.2
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2019,26.9
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2018,28.5
