STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,SOCIO_ECON_STATUS,Socio-economic status,DEATH_CAUSE,Cause of death,CALC_METHODOLOGY,Calculation methodology,GESTATION_THRESHOLD,Gestation period threshold,HEALTH_STATUS,Health status,DISEASE,Disease,CANCER_SITE,Cancer site,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,BEL,Belgium,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,119.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,BEL,Belgium,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005,,172.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,ZAF,South Africa,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001,,369.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,ZAF,South Africa,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002,,350.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,LUX,Luxembourg,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000,,78,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,LUX,Luxembourg,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001,,82,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,ZAF,South Africa,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,207.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,ZAF,South Africa,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004,,373.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,ZAF,South Africa,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005,,382.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.0),Causes of mortality,I,ZAF,South Africa,A,Annual,CSEM,Mortality,DT_10P5HB,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,Not applicable,CICDREPS,Diseases of the respiratory system,STANDARD,Standardised rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008,,350.5,,,,,,,,,,,
