"Patients with adverse outcomes after congestive heart failure"
"% of patients experiencing an adverse outcome within a year of congestive heart failure, per 100 patients, 2021 (or nearest year)"
"Category","Patients who died from any cause","Patients who survived & readmitted due to other cause","Patients who survived & readmitted due to primary diagnosis"
"Israel",30.1,13.9,26.2
"United Kingdom",32.8,12.7,24
"Czechia",30.2,13,25.7
"Norway",25.2,19.4,20.9
"Latvia",39.8,5.4,18.5
"Sweden",24.7,12.7,22.5
"Canada",26.2,12.7,19.9
"OECD15",25.3,12.2,19.8
"Finland",25.8,10.4,20.6
"Iceland",21.1,21.1,14.5
"Estonia",28.6,9.9,16.4
"Slovenia",13.2,18.3,22.1
"Netherlands",28.7,7.7,15.2
"Italy",27.3,8.1,15.1
"Lithuania",19.5,6.4,20
"Japan",6.8,10.7,14.9
