STRUCTURE_NAME,REF_AREA,Reference area,Measure,Age,Sex,Unit of measure,TIME_PERIOD,OBS_VALUE
Tobacco consumption,DEU,Germany,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,20.9
Tobacco consumption,DEU,Germany,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,18.8
Tobacco consumption,DEU,Germany,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,14.6
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,14.1
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,13.2
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,12.6
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,13.1
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,11.1
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,7.7
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,9
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,6.8
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,5
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,4.9
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,5
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,3.1
Tobacco consumption,USA,United States,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,2.9
Tobacco consumption,ROU,Romania,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,19.8
Tobacco consumption,ROU,Romania,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,18.7
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,25.4
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,23.8
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,27.3
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,26.5
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,28
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,28.3
Tobacco consumption,LTU,Lithuania,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,13.7
Tobacco consumption,LTU,Lithuania,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,12.9
Tobacco consumption,HUN,Hungary,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,27.2
Tobacco consumption,HUN,Hungary,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,26.3
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2010,2142.8
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1855.6
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1719.1
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1577.8
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1548
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1537.5
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1533.5
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1477.5
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1469.8
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1472.8
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1486.5
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1486
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2022,1519.9
Tobacco consumption,ESP,Spain,Tobacco consumption,15 years or over,Total,Grammes per person,2023,1441.6
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,10
Tobacco consumption,GBR,United Kingdom,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,10
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,19.5
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,20.1
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,20.7
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,19.3
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,19.6
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,18.2
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,18.3
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,17.7
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,17.8
Tobacco consumption,JPN,Japan,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,16.7
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,22.9
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,23.2
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,21.6
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,19.9
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,20
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,17.3
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,18.4
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,17.5
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,17.5
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,16.4
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,15.9
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,15.4
Tobacco consumption,KOR,Korea,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,14.7
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,10.8
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,9.4
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,13.3
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,7.5
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,11.5
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,5.5
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,6.9
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,5.5
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,4.7
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,3.2
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,2.4
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,3.9
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,3
Tobacco consumption,ISL,Iceland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2023,3.2
Tobacco consumption,GRC,Greece,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,18.8
Tobacco consumption,GRC,Greece,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,17
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,10.7
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,10.5
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,10.4
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,10.2
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10.1
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,9.9
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10.3
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10.3
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,10.3
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,10.2
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,10.2
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,10.2
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,7.4
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2023,7.2
Tobacco consumption,LVA,Latvia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,20.3
Tobacco consumption,LVA,Latvia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,16.6
Tobacco consumption,POL,Poland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,15.5
Tobacco consumption,POL,Poland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,15.2
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1783
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1587
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1543
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1553
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1260
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1283
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1272
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1339
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1113
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1196
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2020,979
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1027
Tobacco consumption,DNK,Denmark,Tobacco consumption,15 years or over,Total,Grammes per person,2022,841
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,15
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,15
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14.6
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,14.2
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.8
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,14.1
