STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,210.9
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,235.9
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,1.3
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,1.3
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2016,0.3
Causes of mortality,PER,Peru,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,23.2
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,1.1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2021,0.8
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2022,0.8
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,1.1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,1.1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,1.1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,1.1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,0.8
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,212.4
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,209.3
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,208.4
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2020,207.8
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,213.1
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,209.9
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,214.8
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,217.5
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,216.1
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2015,14.9
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2016,14.6
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2017,15.1
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2018,13.8
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2013,17.3
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2014,14.1
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2012,16.5
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2019,13.1
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2020,15.3
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2010,16.1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,1.3
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,1.1
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,1.7
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,1.5
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,1.1
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,1.7
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,1.2
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,1.4
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,1.1
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,2
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,1.7
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,1.5
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2010,163.9
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2011,155.5
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2014,143.7
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,147.2
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2016,136.4
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2017,133.7
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2012,157.4
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2013,152.9
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2018,130
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2019,123.5
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2020,122.4
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2021,112.6
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2010,152.8
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2013,151.2
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2021,0.1
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2010,0.2
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2011,0.1
