STRUCTURE_NAME,REF_AREA,Reference area,Measure,Age,Sex,Unit of measure,Measurement method,TIME_PERIOD,OBS_VALUE
Body weight,ESP,Spain,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,52.7
Body weight,ESP,Spain,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,51.5
Body weight,ESP,Spain,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,53
Body weight,ESP,Spain,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,50.2
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,24.8
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,21.5
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,26.8
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Measured,2022,30.2
Body weight,IDN,Indonesia,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,4.8
Body weight,IDN,Indonesia,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,5.1
Body weight,IDN,Indonesia,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,5.4
Body weight,IDN,Indonesia,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,5.8
Body weight,IDN,Indonesia,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,6.2
Body weight,IDN,Indonesia,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,6.5
Body weight,IDN,Indonesia,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,6.9
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,35.1
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,35.3
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,35.3
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,35.2
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,34.3
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,36
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,35.9
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,35.1
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,35.8
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,35.4
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,35.6
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,36
Body weight,SWE,Sweden,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,36
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,11.4
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,11.4
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,12
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,11.1
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,13.3
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,12.8
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,13.6
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,13.4
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,14.4
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,14.1
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,13.4
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,13.9
Body weight,NLD,Netherlands,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,14.6
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Measured,2011,34.2
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Measured,2013,35.6
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,36.1
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,33.5
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Measured,2019,35.5
Body weight,BEL,Belgium,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,18.6
Body weight,BEL,Belgium,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,21.2
Body weight,IDN,Indonesia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,5.7
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,35.6
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,35.8
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,35.6
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,35.5
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,36.2
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,35.3
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,35.5
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,35.4
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,35.4
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,35.4
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,36.1
Body weight,ITA,Italy,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,34.2
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,11.3
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,11
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,11.8
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,11.7
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,12.2
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,12.3
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,13
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,13.1
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,14.1
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,13.7
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,14.4
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,15.3
Body weight,SWE,Sweden,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,16.1
Body weight,BEL,Belgium,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,51
Body weight,BEL,Belgium,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2018,55.4
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,20.8
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Measured,2019,25.9
Body weight,BEL,Belgium,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,13.7
Body weight,BEL,Belgium,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,15.9
Body weight,MEX,Mexico,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2012,71.3
Body weight,MEX,Mexico,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2016,72.5
Body weight,MEX,Mexico,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2018,75.2
Body weight,MEX,Mexico,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2020,74.1
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,36.8
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,36.8
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,35.9
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,34.5
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,34.9
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,34.7
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,34
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,33.9
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,34.1
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,34.3
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,35
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,34.6
Body weight,NLD,Netherlands,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,34.1
Body weight,ESP,Spain,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,16.6
Body weight,ESP,Spain,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,16.7
Body weight,ESP,Spain,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,16.9
Body weight,ESP,Spain,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,14.9
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Measured,2011,40.2
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Measured,2012,36.5
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,40.8
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Measured,2022,39.7
Body weight,BEL,Belgium,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,34.4
Body weight,BEL,Belgium,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,33.4
Body weight,BEL,Belgium,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,48.1
