Country,value
Argentina,26.89
Australia,40.23
Austria,30.70
Belgium,33.97
Brazil,35.90
Bulgaria,40.20
Canada,36.89
Chile,42.27
China ,5.69
Colombia,26.90
Costa Rica,32.26
Croatia,32.10
Czechia,37.51
Denmark,31.57
Estonia,33.96
Finland,38.10
France,30.49
Germany,36.30
Greece,37.80
Hungary,38.68
Iceland,39.28
India,3.45
Indonesia,7.93
Ireland,38.67
Italy,30.74
Japan,16.82
Korea,20.01
Latvia,35.45
Lithuania,35.44
Luxembourg,30.26
Mexico,48.83
Netherlands,31.95
New Zealand,44.08
Norway,32.00
Peru,17.67
Poland,34.48
Portugal,36.25
Romania,32.22
Slovak Republic,37.30
Slovenia,37.37
South Africa,25.31
Spain,34.60
Sweden,32.36
Switzerland,27.96
Turkiye,36.76
Ukraine,24.66
United Kingdom,40.46
United States,44.41
