country,cancerType,year,survivalRate
Australia,Colon cancer ,2004,63.7
Australia,Colon cancer ,2009,68.1
Australia,Colon cancer ,2014,70.7
Australia,Lung cancer ,2004,14.8
Australia,Lung cancer ,2009,17.1
Australia,Lung cancer ,2014,19.4
Australia,Rectal cancer ,2004,64.4
Australia,Rectal cancer ,2009,68.6
Australia,Rectal cancer ,2014,71
Australia,Stomach cancer ,2004,27.7
Australia,Stomach cancer ,2009,29.8
Australia,Stomach cancer ,2014,31.8
Austria,Lung cancer ,2004,15.4
Austria,Lung cancer ,2009,18
Austria,Lung cancer ,2014,19.7
Austria,Rectal cancer ,2004,60.2
Austria,Rectal cancer ,2009,63.5
Austria,Rectal cancer ,2014,64.2
Austria,Stomach cancer ,2004,30
Austria,Stomach cancer ,2009,34.2
Austria,Stomach cancer ,2014,35.4
Austria,Colon cancer ,2004,60.7
Austria,Colon cancer ,2009,63.5
Austria,Colon cancer ,2014,63.7
Belgium,Stomach cancer ,2004,29.3
Belgium,Stomach cancer ,2009,35.8
Belgium,Stomach cancer ,2014,37.5
Belgium,Colon cancer ,2004,64.3
Belgium,Colon cancer ,2009,65
Belgium,Colon cancer ,2014,67.9
Belgium,Rectal cancer ,2004,62.9
Belgium,Rectal cancer ,2009,65.3
Belgium,Rectal cancer ,2014,66.6
Belgium,Lung cancer ,2004,15.4
Belgium,Lung cancer ,2009,17
Belgium,Lung cancer ,2014,18.2
Brazil,Lung cancer ,2004,9.1
Brazil,Lung cancer ,2009,8.5
Brazil,Lung cancer ,2014,8.1
Brazil,Rectal cancer ,2004,37.5
Brazil,Rectal cancer ,2009,45.5
Brazil,Rectal cancer ,2014,42.6
Brazil,Colon cancer ,2004,44.5
Brazil,Colon cancer ,2009,50.6
Brazil,Colon cancer ,2014,48.3
Brazil,Stomach cancer ,2004,19.1
Brazil,Stomach cancer ,2009,24.3
Brazil,Stomach cancer ,2014,20.5
Bulgaria,Lung cancer ,2004,5.8
Bulgaria,Lung cancer ,2009,7
Bulgaria,Lung cancer ,2014,7.7
Bulgaria,Colon cancer ,2004,43.9
Bulgaria,Colon cancer ,2009,48.5
Bulgaria,Colon cancer ,2014,52.4
Bulgaria,Stomach cancer ,2004,11.2
Bulgaria,Stomach cancer ,2009,13.9
Bulgaria,Stomach cancer ,2014,16
Bulgaria,Rectal cancer ,2004,37
Bulgaria,Rectal cancer ,2009,42.1
Bulgaria,Rectal cancer ,2014,45.9
Canada,Colon cancer ,2004,61.1
Canada,Colon cancer ,2009,64.9
Canada,Colon cancer ,2014,67
Canada,Stomach cancer ,2004,24.7
Canada,Stomach cancer ,2009,26.2
Canada,Stomach cancer ,2014,29.5
Canada,Lung cancer ,2004,16.8
Canada,Lung cancer ,2009,18.6
Canada,Lung cancer ,2014,21.3
Canada,Rectal cancer ,2004,61.5
Canada,Rectal cancer ,2009,65.2
Canada,Rectal cancer ,2014,67.1
Chile,Lung cancer ,2004,7.1
Chile,Lung cancer ,2009,6.3
Chile,Lung cancer ,2014,4.6
Chile,Rectal cancer ,2004,35.9
Chile,Rectal cancer ,2009,39.5
Chile,Rectal cancer ,2014,32.7
Chile,Stomach cancer ,2004,14.5
Chile,Stomach cancer ,2009,16.3
Chile,Stomach cancer ,2014,16.7
Chile,Colon cancer ,2004,35.5
Chile,Colon cancer ,2009,47.1
Chile,Colon cancer ,2014,43.9
China,Rectal cancer ,2004,49.5
China,Rectal cancer ,2009,52.5
China,Rectal cancer ,2014,56.9
China,Colon cancer ,2004,51.4
China,Colon cancer ,2009,55.6
China,Colon cancer ,2014,57.6
China,Lung cancer ,2004,18.7
China,Lung cancer ,2009,17.7
China,Lung cancer ,2014,19.8
China,Stomach cancer ,2004,30.2
China,Stomach cancer ,2009,33.2
China,Stomach cancer ,2014,35.9
Colombia,Lung cancer ,2004,9.4
Colombia,Lung cancer ,2009,10.5
Colombia,Lung cancer ,2014,8.7
Colombia,Rectal cancer ,2004,38.3
Colombia,Rectal cancer ,2009,37.2
Colombia,Rectal cancer ,2014,38
Colombia,Stomach cancer ,2004,18.4
Colombia,Stomach cancer ,2009,17.7
Colombia,Stomach cancer ,2014,17.1
Colombia,Colon cancer ,2004,45
Colombia,Colon cancer ,2009,41.3
Colombia,Colon cancer ,2014,34.5
Costa Rica,Rectal cancer ,2004,48.4
Costa Rica,Rectal cancer ,2009,50.2
Costa Rica,Rectal cancer ,2014,53.9
Costa Rica,Stomach cancer ,2004,48.4
Costa Rica,Stomach cancer ,2009,38.4
Costa Rica,Stomach cancer ,2014,40.6
Costa Rica,Lung cancer ,2004,36.2
Costa Rica,Lung cancer ,2009,22
Costa Rica,Lung cancer ,2014,20.1
Costa Rica,Colon cancer ,2004,63.8
Costa Rica,Colon cancer ,2009,55.1
Costa Rica,Colon cancer ,2014,60.1
Croatia,Colon cancer ,2004,47.3
Croatia,Colon cancer ,2009,49.5
Croatia,Colon cancer ,2014,51.1
Croatia,Stomach cancer ,2004,19.7
Croatia,Stomach cancer ,2009,18.9
Croatia,Stomach cancer ,2014,20
Croatia,Lung cancer ,2004,11.2
Croatia,Lung cancer ,2009,10.6
Croatia,Lung cancer ,2014,10
Croatia,Rectal cancer ,2004,44.4
Croatia,Rectal cancer ,2009,47.1
Croatia,Rectal cancer ,2014,48.2
Cyprus,Lung cancer ,2004,18.3
Cyprus,Lung cancer ,2009,18.2
Cyprus,Lung cancer ,2014,18.7
Cyprus,Stomach cancer ,2004,36.6
Cyprus,Stomach cancer ,2009,28.1
Cyprus,Stomach cancer ,2014,35.6
Cyprus,Rectal cancer ,2004,61.9
Cyprus,Rectal cancer ,2009,78.3
Cyprus,Rectal cancer ,2014,75.9
Cyprus,Colon cancer ,2004,70.7
Cyprus,Colon cancer ,2009,67.6
Cyprus,Colon cancer ,2014,72.1
Czechia,Colon cancer ,2004,48
Czechia,Colon cancer ,2009,52
Czechia,Colon cancer ,2014,56.1
Czechia,Stomach cancer ,2004,18.7
Czechia,Stomach cancer ,2009,19.3
Czechia,Stomach cancer ,2014,20.6
Czechia,Rectal cancer ,2004,43.8
Czechia,Rectal cancer ,2009,47.9
Czechia,Rectal cancer ,2014,52.3
Czechia,Lung cancer ,2004,8.6
Czechia,Lung cancer ,2009,9.8
Czechia,Lung cancer ,2014,10.6
Denmark,Lung cancer ,2004,9.5
Denmark,Lung cancer ,2009,12.3
Denmark,Lung cancer ,2014,16.6
Denmark,Colon cancer ,2004,51.5
Denmark,Colon cancer ,2009,56.5
Denmark,Colon cancer ,2014,61.6
Denmark,Rectal cancer ,2004,53.2
Denmark,Rectal cancer ,2009,59.8
Denmark,Rectal cancer ,2014,64.8
Denmark,Stomach cancer ,2004,14.7
Denmark,Stomach cancer ,2009,15.4
Denmark,Stomach cancer ,2014,19.9
Estonia,Rectal cancer ,2004,46.4
Estonia,Rectal cancer ,2009,50.5
Estonia,Rectal cancer ,2014,54.8
Estonia,Colon cancer ,2004,48.9
Estonia,Colon cancer ,2009,53.8
Estonia,Colon cancer ,2014,58.4
Estonia,Lung cancer ,2004,10.8
Estonia,Lung cancer ,2009,14.3
Estonia,Lung cancer ,2014,16.9
Estonia,Stomach cancer ,2004,22.3
