REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,118.7
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,37.4
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,146.4
JPN,Japan,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,10.6
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,94.1
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,127.6
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,31.1
EST,Estonia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,98.1
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,156.6
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,73.7
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,126.4
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,68.6
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,88.5
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,76.8
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,158.8
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,119.7
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,47
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,394.8
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,100.8
USA,United States,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,230.9
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,110.6
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,90.7
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,107.5
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,143.2
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,52
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,57.4
MLT,Malta,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,136
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,201.3
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,188.1
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,54.1
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,73
HRV,Croatia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,100.2
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,123.4
